,question,answer,answer_html,link,name,source,category,country,region,city,lang,last_update,question_ar,answer_ar
0,What is a novel coronavirus?,"A novel coronavirus is a new coronavirus that has not been previously identified. The virus causing coronavirus disease 2019 (COVID-19), is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold.

A diagnosis with coronavirus 229E, NL63, OC43, or HKU1 is not the same as a COVID-19 diagnosis. Patients with COVID-19 will be evaluated and cared for differently than patients with common coronavirus diagnosis.","<p>A novel coronavirus is a new coronavirus that has not been previously identified. The virus causing coronavirus disease 2019 (COVID-19), is not the same as the <a href=""/coronavirus/types.html"">coronaviruses that commonly circulate among humans</a>&nbsp;and cause mild illness, like the common cold.</p>
<p>A diagnosis with coronavirus 229E, NL63, OC43, or HKU1 is not the same as a COVID-19 diagnosis. Patients with COVID-19 will be evaluated and cared for differently than patients with common coronavirus diagnosis.","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Frequently Asked Questions,Center for Disease Control and Prevention (CDC),Coronavirus Disease 2019 Basics,USA,,,en,2020/03/17,ما هو الفيروس التاجي الجديد؟,"الفيروس التاجي الجديد هو فيروس تاجي جديد لم يتم تحديده من قبل. الفيروس المسبب لمرض الفيروس التاجي 2019 (COVID-19) ، ليس هو نفسه الفيروسات التاجية التي تنتشر عادة بين البشر وتسبب مرضًا خفيفًا ، مثل نزلات البرد.

التشخيص مع الفيروس التاجي 229E، NL63، OC43، أو HKU1 ليست هي نفسها كتشخيص COVID-19. سيتم تقييم المرضى الذين يعانون من COVID-19 ورعايتهم بشكل مختلف عن المرضى الذين يعانون من تشخيص الفيروس التاجي المشترك."
1,"Why is the disease being called coronavirus disease 2019, COVID-19?","On February 11, 2020 the World Health Organization announced an official name for the disease that is causing the 2019 novel coronavirus outbreak, first identified in Wuhan China. The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, ‘CO’ stands for ‘corona,’ ‘VI’ for ‘virus,’ and ‘D’ for disease. Formerly, this disease was referred to as “2019 novel coronavirus” or “2019-nCoV”.

There are many types of human coronaviruses including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused be a novel (or new) coronavirus that has not previously been seen in humans. The name of this disease was selected following the World Health Organization (WHO) best practiceexternal icon for naming of new human infectious diseases.","<p>On February 11, 2020 the World Health Organization <a href=\""https://twitter.com/DrTedros/status/1227297754499764230\"">announced</a> an official name for the disease that is causing the 2019 novel coronavirus outbreak, first identified in Wuhan China. The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, 'CO' stands for 'corona,' 'VI' for 'virus,' and 'D' for disease. Formerly, this disease was referred to as \""2019 novel coronavirus\"" or \""2019-nCoV\"".
    
    There are <a href=\""https://www.cdc.gov/coronavirus/index.html\"">many types</a> of human coronaviruses including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused be a novel (or new) coronavirus that has not previously been seen in humans. The name of this disease was selected following the World Health Organization (WHO) <a href=\""https://www.who.int/topics/infectious_diseases/naming-new-diseases/en/\"">best practice</a> for naming of new human infectious diseases.</p>","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Frequently Asked Questions,Center for Disease Control and Prevention (CDC),Coronavirus Disease 2019 Basics,USA,,,en,2020/03/17,لماذا يسمى هذا المرض مرض الفيروس التاجي 2019، COVID-19؟,"في 11 فبراير 2020، أعلنت منظمة الصحة العالمية عن اسم رسمي للمرض الذي يتسبب في تفشي الفيروس التاجي الجديد في عام 2019، الذي تم تحديده لأول مرة في ووهان الصين. الاسم الجديد لهذا المرض هو مرض الفيروس التاجي 2019 ، الذي يختصر باسم COVID-19. في COVID-19، ""CO"" تقف على ""الهالة""، ""السادسة"" ل 'الفيروس،' و 'D' للمرض. في السابق، كان يشار إلى هذا المرض باسم ""فيروس كورونا جديد 2019"" أو ""2019-nCoV"".

هناك العديد من أنواع الفيروسات التاجية البشرية بما في ذلك بعض التي تسبب عادة أمراض الجهاز التنفسي العلوي خفيفة. COVID-19 هو مرض جديد، تسبب في أن يكون الفيروس التاجي الجديد (أو الجديد) الذي لم يسبق له مثيل في البشر. وقد تم اختيار اسم هذا المرض بعد أفضل رمز خارجي لمنظمة الصحة العالمية لتسمية الأمراض المعدية البشرية الجديدة."
2,Why might someone blame or avoid individuals and groups (create stigma) because of COVID-19?,"People in the U.S. may be worried or anxious about friends and relatives who are living in or visiting areas where COVID-19 is spreading. Some people are worried about the disease. Fear and anxiety can lead to social stigma, for example, towards Chinese or other Asian Americans or people who were in quarantine.

Stigma is discrimination against an identifiable group of people, a place, or a nation. Stigma is associated with a lack of knowledge about how COVID-19 spreads, a need to blame someone, fears about disease and death, and gossip that spreads rumors and myths.

Stigma hurts everyone by creating more fear or anger towards ordinary people instead of the disease that is causing the problem.","<p>People in the U.S. may be worried or anxious about friends and relatives who are living in or visiting areas where COVID-19 is spreading. Some people are worried about the disease. Fear and anxiety can lead to social stigma, for example, towards Chinese or other Asian Americans or people who were in quarantine.</p>
<p>Stigma is discrimination against an identifiable group of people, a place, or a nation. Stigma is associated with a lack of knowledge about how COVID-19 spreads, a need to blame someone, fears about disease and death, and gossip that spreads rumors and myths.</p>
<p>Stigma hurts everyone by creating more fear or anger towards ordinary people instead of the disease that is causing the problem.</p>","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Frequently Asked Questions,Center for Disease Control and Prevention (CDC),Coronavirus Disease 2019 Basics,USA,,,en,2020/03/17,لماذا قد يلوم شخص ما أو يتجنب الأفراد والجماعات (خلق وصمة العار) بسبب COVID-19؟,"قد يشعر الناس في الولايات المتحدة بالقلق أو القلق بشأن الأصدقاء والأقارب الذين يعيشون أو يزورون المناطق التي ينتشر فيها COVID-19. بعض الناس قلقون من هذا المرض. فالخوف والقلق يمكن أن يؤديا إلى وصمة اجتماعية، على سبيل المثال، تجاه الأميركيين الصينيين أو غيرهم من الأميركيين الآسيويين أو الأشخاص الذين كانوا في الحجر الصحي.

وصمة العار هي التمييز ضد مجموعة يمكن التعرف عليها من الناس، أو مكان، أو أمة. ويرتبط وصمة العار مع عدم وجود معرفة حول كيفية انتشار COVID-19، والحاجة إلى إلقاء اللوم على شخص ما، والمخاوف من المرض والموت، والقيل والقال الذي ينشر الشائعات والخرافات.

وصمة العار تؤذي الجميع من خلال خلق المزيد من الخوف أو الغضب تجاه الناس العاديين بدلا من المرض الذي يسبب المشكلة."
3,How can people help stop stigma related to COVID-19?,"People can fight stigma and help, not hurt, others by providing social support. Counter stigma by learning and sharing facts. Communicating the facts that viruses do not target specific racial or ethnic groups and how COVID-19 actually spreads can help stop stigma.","<p>People can fight stigma and help, not hurt, others by providing social support. Counter stigma by learning and sharing facts. Communicating the facts that viruses do not target specific racial or ethnic groups and how COVID-19 actually spreads can help stop stigma.</p>","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Frequently Asked Questions,Center for Disease Control and Prevention (CDC),How It Spreads,USA,,,en,2020/03/17,كيف يمكن للناس المساعدة في وقف وصمة العار المتعلقة بـ COVID-19؟,يمكن للناس محاربة وصمة العار والمساعدة، وليس إيذاء الآخرين من خلال تقديم الدعم الاجتماعي. مكافحة وصمة العار من خلال التعلم وتبادل الحقائق. إن نقل الحقائق بأن الفيروسات لا تستهدف مجموعات عرقية أو عرقية محددة وكيف ينتشر COVID-19 يمكن أن يساعد في وقف وصمة العار.
4,What is the source of the virus?,"Coronaviruses are a large family of viruses. Some cause illness in people, and others, such as canine and feline coronaviruses, only infect animals. Rarely, animal coronaviruses that infect animals have emerged to infect people and can spread between people. This is suspected to have occurred for the virus that causes COVID-19. Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS) are two other examples of coronaviruses that originated from animals and then spread to people. More information about the source and spread of COVID-19 is available on the Situation Summary: Source and Spread of the Virus.","<p>Coronaviruses are a large family of viruses. Some cause illness in people, and others, such as canine and feline coronaviruses, only infect animals. Rarely, animal coronaviruses that infect animals have emerged to infect people and can spread between people. This is suspected to have occurred for the virus that causes COVID-19. Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS) are two other examples of coronaviruses that originated from animals and then spread to people. More information about the source and spread of COVID-19 is available on the <a href=""/coronavirus/2019-nCoV/summary.html#anchor_1580079137454"">Situation Summary: Source and Spread of the Virus</a>.</p>","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Frequently Asked Questions,Center for Disease Control and Prevention (CDC),How It Spreads,USA,,,en,2020/03/17,ما هو مصدر الفيروس؟,الفيروسات التاجية هي عائلة كبيرة من الفيروسات. بعض يسبب المرض في الناس، والبعض الآخر، مثل الكلاب والفيروسات التاجية القطط، تصيب الحيوانات فقط. ونادرا ما ظهرت فيروسات كورونا الحيوانية التي تصيب الحيوانات لتصيب الناس ويمكن أن تنتشر بين الناس. ويشتبه في أن هذا قد حدث للفيروس الذي يسبب COVID-19. متلازمة الشرق الأوسط التنفسية (MERS) ومتلازمة التنفس الحاد الوخيم (سارس) مثالان آخران على الفيروسات التاجية التي نشأت من الحيوانات ثم انتشرت إلى الناس. يتوفر المزيد من المعلومات حول مصدر وانتشار COVID-19 على ملخص الحالة: مصدر الفيروس وانتشاره.
5,How does the virus spread?,"This virus was first detected in Wuhan City, Hubei Province, China. The first infections were linked to a live animal market, but the virus is now spreading from person-to-person. It’s important to note that person-to-person spread can happen on a continuum. Some viruses are highly contagious (like measles), while other viruses are less so.

The virus that causes COVID-19 seems to be spreading easily and sustainably in the community (“community spread”) in some affected geographic areas. Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.

Learn what is known about the spread of newly emerged coronaviruses.","<p>This virus was first detected in Wuhan City, Hubei Province, China. The first infections were linked to a live animal market, but the virus is now spreading from person-to-person. It&rsquo;s important to note that person-to-person spread can happen on a continuum. Some viruses are highly contagious (like measles), while other viruses are less so.</p>
<p>The virus that causes COVID-19 seems to be spreading easily and sustainably in the community (&ldquo;community spread&rdquo;) in <a href=""/coronavirus/2019-ncov/about/transmission.html#geographic"">some affected geographic areas</a>. Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.</p>
<p>Learn what is known about the <a href=""/coronavirus/2019-ncov/about/transmission.html"">spread of newly emerged coronaviruses</a>.</p>","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Frequently Asked Questions,Center for Disease Control and Prevention (CDC),How It Spreads,USA,,,en,2020/03/17,كيف ينتشر الفيروس؟,"تم اكتشاف هذا الفيروس لأول مرة في مدينة ووهان، مقاطعة هوبي، الصين. وارتبطت العدوى الأولى بسوق للحيوانات الحية، ولكن الفيروس ينتشر الآن من شخص إلى آخر. من المهم ملاحظة أن انتشار شخص إلى شخص يمكن أن يحدث على سلسلة متصلة. بعض الفيروسات شديدة العدوى (مثل الحصبة)، في حين أن الفيروسات الأخرى أقل من ذلك.

ويبدو أن الفيروس الذي يسبب COVID-19 ينتشر بسهولة واستدامة في المجتمع (""انتشار المجتمع المحلي"") في بعض المناطق الجغرافية المتضررة. ويعني انتشار المجتمع المحلي إصابة الناس بالفيروس في منطقة ما، بمن فيهم بعض الذين ليسوا متأكدين من كيفية أو مكان إصابتهم.

تعرف على ما هو معروف عن انتشار الفيروسات التاجية الناشئة حديثًا."
6,Can someone who has had COVID-19 spread the illness to others?,"The virus that causes COVID-19 is spreading from person-to-person. Someone who is actively sick with COVID-19 can spread the illness to others. That is why CDC recommends that these patients be isolated either in the hospital or at home (depending on how sick they are) until they are better and no longer pose a risk of infecting others.

How long someone is actively sick can vary so the decision on when to release someone from isolation is made on a case-by-case basis in consultation with doctors, infection prevention and control experts, and public health officials and involves considering specifics of each situation including disease severity, illness signs and symptoms, and results of laboratory testing for that patient.

Current CDC guidance for when it is OK to release someone from isolation is made on a case by case basis and includes meeting all of the following requirements:

The patient is free from fever without the use of fever-reducing medications.
The patient is no longer showing symptoms, including cough.
The patient has tested negative on at least two consecutive respiratory specimens collected at least 24 hours apart.
Someone who has been released from isolation is not considered to pose a risk of infection to others.","<p>The virus that causes COVID-19 is <a href=""https://www.cdc.gov/coronavirus/2019-ncov/about/transmission.html"">spreading from person-to-person</a>. Someone who is actively sick with COVID-19 can spread the illness to others. That is why CDC recommends that these patients be isolated either in the hospital or at home (depending on how sick they are) until they are better and no longer pose a risk of infecting others.</p>
<p>How long someone is actively sick can vary so the decision on when to release someone from isolation is made on a case-by-case basis in consultation with doctors, infection prevention and control experts, and public health officials and involves considering specifics of each situation including disease severity, illness signs and symptoms, and results of laboratory testing for that patient.</p>
<p>Current <a href=""https://www.cdc.gov/coronavirus/2019-ncov/hcp/disposition-hospitalized-patients.html"">CDC guidance for when it is OK to release someone from isolation</a>&nbsp;is made on a case by case basis and includes meeting all of the following requirements:</p>
<ul>
<li>The patient is free from fever without the use of fever-reducing medications.</li>
<li>The patient is no longer showing symptoms, including cough.</li>
<li>The patient has tested negative on at least two consecutive respiratory specimens collected at least 24 hours apart.</li>
</ul>
<p>Someone who has been released from isolation is not considered to pose a risk of infection to others.</p>","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Frequently Asked Questions,Center for Disease Control and Prevention (CDC),How It Spreads,USA,,,en,2020/03/17,هل يمكن لشخص مصاب بـ COVID-19 أن ينشر المرض للآخرين؟,"الفيروس الذي يسبب COVID-19 ينتشر من شخص إلى آخر. يمكن للشخص الذي هو مريض بنشاط مع COVID-19 نشر المرض إلى الآخرين. هذا هو السبب في أن مركز السيطرة على الأمراض يوصي بأن هؤلاء المرضى العزلة إما في المستشفى أو في المنزل (اعتمادا على مدى مرضهم) حتى أنهم أفضل ولم تعد تشكل خطرا من إصابة الآخرين.

يمكن أن يختلف طول المدة التي يُمكن أن يُتَعَمَى بها شخص ما بشكل ٍ نشط، لذا فإن القرار بشأن موعد إطلاق سراح شخص ما من العزلة يتم على أساس كل حالة على حدة بالتشاور مع الأطباء وخبراء الوقاية من العدوى ومكافحتها ومسؤولي الصحة العامة وينطوي على التفكير في تفاصيل كل حالة بما في ذلك شدة المرض، وعلامات المرض وأعراضه، ونتائج الاختبارات المخبرية لذلك المريض.

يتم إجراء التوجيه الحالي لمركز السيطرة على الأمراض عند الإفراج عن شخص ما من العزل على أساس كل حالة على حدة ويشمل تلبية جميع المتطلبات التالية:

المريض خال من الحمى دون استخدام الأدوية الحد من الحمى.
لم يعد المريض يظهر عليه أعراض، بما في ذلك السعال.
وقد تم اختبار المريض سلبية على ما لا يقل عن عينتين تنفسية متتالية جمعت ما لا يقل عن 24 ساعة.
لا يعتبر الشخص الذي تم الإفراج عنه من العزلة أنه يشكل خطر العدوى للآخرين."
7,Can someone who has been quarantined for COVID-19 spread the illness to others?,"Quarantine means separating a person or group of people who have been exposed to a contagious disease but have not developed illness (symptoms) from others who have not been exposed, in order to prevent the possible spread of that disease. Quarantine is usually established for the incubation period of the communicable disease, which is the span of time during which people have developed illness after exposure. For COVID-19, the period of quarantine is 14 days from the last date of exposure, because 14 days is the longest incubation period seen for similar coronaviruses. Someone who has been released from COVID-19 quarantine is not considered a risk for spreading the virus to others because they have not developed illness during the incubation period.","<p>Quarantine means separating a person or group of people who have been exposed to a contagious disease but have not developed illness (symptoms) from others who have not been exposed, in order to prevent the possible spread of that disease. Quarantine is usually established for the incubation period of the communicable disease, which is the span of time during which people have developed illness after exposure. For COVID-19, the period of quarantine is 14 days from the last date of exposure, because 14 days is the longest incubation period seen for similar coronaviruses. Someone who has been released from COVID-19 quarantine is not considered a risk for spreading the virus to others because they have not developed illness during the incubation period.</p>
</div></div></div>","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Frequently Asked Questions,Center for Disease Control and Prevention (CDC),How It Spreads,USA,,,en,2020/03/17,هل يمكن لشخص تم عزله من COVID-19 أن ينشر المرض للآخرين؟,الحجر الصحي يعني فصل شخص أو مجموعة من الأشخاص الذين تعرضوا لمرض معدي ولكن لم تتطور المرض (الأعراض) من الآخرين الذين لم يتعرضوا، من أجل منع انتشار محتمل لهذا المرض. وعادة ما يتم إنشاء الحجر الصحي لفترة حضانة المرض المعدي، وهو الفترة الزمنية التي أصيب فيها الناس بالمرض بعد التعرض. وبالنسبة لـ COVID-19، فإن فترة الحجر الصحي هي 14 يوماً من آخر تاريخ للتعرض، لأن 14 يوماً هي أطول فترة حضانة تشهدها فيروسات كورونا مماثلة. لا يعتبر الشخص الذي تم إطلاقه من الحجر الصحي COVID-19 خطرًا لنشر الفيروس إلى الآخرين لأنهم لم يتطوروا إلى المرض خلال فترة الحضانة.
8,"Can the virus that causes COVID-19 be spread through food, including refrigerated or frozen food?","Coronaviruses are generally thought to be spread from person-to-person through respiratory droplets. Currently there is no evidence to support transmission of COVID-19 associated with food. Before preparing or eating food it is important to always wash your hands with soap and water for 20 seconds for general food safety. Throughout the day wash your hands after blowing your nose, coughing or sneezing, or going to the bathroom.

It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads.

In general, because of poor survivability of these coronaviruses on surfaces, there is likely very low risk of spread from food products or packaging that are shipped over a period of days or weeks at ambient, refrigerated, or frozen temperatures.

Learn what is known about the spread of COVID-19.","<p>Coronaviruses are generally thought to be spread from person-to-person through respiratory droplets. Currently there is no evidence to support transmission of COVID-19 associated with food. Before preparing or eating food it is important to always wash your hands with soap and water for 20 seconds for general food safety. Throughout the day wash your hands after blowing your nose, coughing or sneezing, or going to the bathroom.</p>
<p>It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads.</p>
<p>In general, because of poor survivability of these coronaviruses on surfaces, there is likely very low risk of spread from food products or packaging that are shipped over a period of days or weeks at ambient, refrigerated, or frozen temperatures.</p>
<p>Learn what is known about the <a href=""/coronavirus/2019-ncov/about/transmission.html"">spread of COVID-19</a>.</p>","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Frequently Asked Questions,Center for Disease Control and Prevention (CDC),How It Spreads,USA,,,en,2020/03/17,هل يمكن انتشار الفيروس الذي يسبب COVID-19 من خلال الطعام، بما في ذلك الطعام المبرد أو المجمد؟,"ويعتقد عموما أن الفيروسات التاجية أن تنتشر من شخص إلى شخص من خلال قطرات الجهاز التنفسي. ولا يوجد حالياً دليل يدعم انتقال ثاني أكسيد الكربون -19 المرتبط بالأغذية. قبل إعداد أو تناول الطعام من المهم أن تغسل يديك دائمًا بالماء والصابون لمدة 20 ثانية من أجل سلامة الغذاء العامة. على مدار اليوم غسل يديك بعد تهب الأنف، السعال أو العطس، أو الذهاب إلى الحمام.

قد يكون من الممكن أن الشخص يمكن الحصول على COVID-19 عن طريق لمس سطح أو كائن يحتوي على الفيروس عليه ومن ثم لمس الفم أو الأنف أو ربما عيونهم، ولكن لا يعتقد أن هذه هي الطريقة الرئيسية التي ينتشر الفيروس.

بشكل عام، بسبب ضعف قدرة هذه الفيروسات التاجية على الأسطح، من المحتمل أن يكون هناك خطر منخفض جدًا للانتشار من المنتجات الغذائية أو التعبئة والتغليف التي يتم شحنها على مدى أيام أو أسابيع في درجات الحرارة المحيطة أو المبردة أو المجمدة.

تعرف على ما هو معروف عن انتشار COVID-19."
9,Will warm weather stop the outbreak of COVID-19?,"It is not yet known whether weather and temperature impact the spread of COVID-19. Some other viruses, like the common cold and flu, spread more during cold weather months but that does not mean it is impossible to become sick with these viruses during other months.  At this time, it is not known whether the spread of COVID-19 will decrease when weather becomes warmer.  There is much more to learn about the transmissibility, severity, and other features associated with COVID-19 and investigations are ongoing.","<p>It is not yet known whether weather and temperature impact the spread of COVID-19. Some other viruses, like the common cold and flu, spread more during cold weather months but that does not mean it is impossible to become sick with these viruses during other months.&nbsp; At this time, it is not known whether the spread of COVID-19 will decrease when weather becomes warmer. &nbsp;There is much more to learn about the transmissibility, severity, and other features associated with COVID-19 and investigations are ongoing.</p>","
https://www.cdc.gov/coronavirus/2019-ncov/faq.html",Frequently Asked Questions,Center for Disease Control and Prevention (CDC),How It Spreads,USA,,,en,2020/03/17,هل سيتوقف الطقس الدافئ عن تفشي COVID-19؟,ومن غير المعروف حتى الآن ما إذا كان الطقس ودرجة الحرارة يؤثران على انتشار COVID-19. بعض الفيروسات الأخرى، مثل نزلات البرد والإنفلونزا، انتشرت أكثر خلال أشهر الطقس البارد ولكن هذا لا يعني أنه من المستحيل أن تصبح مريضة مع هذه الفيروسات خلال الأشهر الأخرى.  في هذا الوقت، لا يُعرف ما إذا كان انتشار COVID-19 سينخفض عندما يصبح الطقس أكثر دفئًا.  هناك الكثير لمعرفة المزيد عن قابلية الجواز والشدة والميزات الأخرى المرتبطة بCOVID-19 والتحقيقات جارية.
