question	answer	answer_html	link	name	source	category	country	region	city	lang	last_update
Quali sono le misure previste in Italia?	"Il Governo ha emanato con il ulteriori misure restrittive su tutto il territorio nazionale per contrastare l'emergenza coronavirus. Il provvedimento avrà validità dal 12 al 25 marzo. Tra le misure previste sono sospese le attività di bar, pub, ristoranti. Chiusura dei parrucchieri e centri estetici. Resteranno aperti alimentari, benzinai, edicole e tabacchi oltre a farmacie e parafarmacie, ottici ed altri eservizi commerciali per generi di prima necessità come quelli per la cura degli animali. Le industrie resteranno aperte ma con ""misure di sicurezza"", cioè purché garantiscano iniziative per evitare il contagio. Chiusi invece i reparti aziendali ""non indispensabili"" per la produzione. Si incentiva anche la regolazione di turni di lavoro e le ferie anticipate.  del , definito . Il provvedimento limita gli spostamenti delle persone, blocca le manifestazioni sportive, sospende in tutto il Paese l'attività didattica nelle scuole e nelle università fino al 3 aprile. Con , emanata il 20 marzo, sono state disposte nuove restrizioni agli spostamenti. Leggi Scarica Consulta"	"<p>
	Il Governo ha emanato con il <a href=""http://www.normativasanitaria.it/jsp/dettaglio.jsp?id=73643"" title=""Apre sito esterno Trovanorme "">Dpcm  11 marzo</a> ulteriori misure restrittive su tutto il territorio nazionale per contrastare l'emergenza coronavirus.
</p> <p>
	Il provvedimento avrà validità dal 12 al 25 marzo.
</p> <p>
	Tra le misure previste sono sospese le attività di bar, pub, ristoranti. Chiusura dei parrucchieri e centri estetici. Resteranno aperti alimentari, benzinai, edicole e tabacchi oltre a farmacie e parafarmacie, ottici ed altri eservizi commerciali per generi di prima necessità come quelli per la cura degli animali. Le industrie resteranno aperte ma con ""misure di sicurezza"", cioè purché garantiscano iniziative per evitare il contagio.
</p> <p>
	Chiusi invece i reparti aziendali ""non indispensabili"" per la produzione. Si incentiva anche la regolazione di turni di lavoro e le ferie anticipate.
</p> <p>
	<strong>Restano confermate tutte le misure restrittive</strong> del <a href=""http://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=73629"">Dpcm del 9 marzo</a>, definito <strong>#Iorestoacasa</strong>. Il provvedimento limita gli spostamenti delle persone, blocca le manifestazioni sportive, sospende in tutto il Paese l'attività didattica nelle scuole e nelle università fino al 3 aprile.
</p> <p>
	Con <a href=""http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&amp;menu=notizie&amp;p=dalministero&amp;id=4283""><font color=""#0066cc"">ordinanza del ministro della Salute</font></a>, emanata il 20 marzo, sono state disposte nuove restrizioni agli spostamenti.
</p> <p>
	Leggi
</p> <p>
	Scarica
</p> <p>
	Consulta
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Quali negozi e servizi sono aperti?	Le disposizioni del , valide dal 12 al 25 marzo 2020, prevedono ulteriori misure restrittive su tutto il territorio nazionale per contrastare l'emergenza coronavirus. Il Dpcm sospende le attività commerciali al dettaglio, fatta eccezione per quelle che vendono beni di prima necessità. Ecco l’elenco degli esercizi aperti:	"<p>
	Le disposizioni del <a href=""http://www.normativasanitaria.it/jsp/dettaglio.jsp?id=73643"" title=""Apre sito esterno Trovanorme "">Dpcm 11 marzo 2020</a>, valide dal 12 al 25 marzo 2020, prevedono ulteriori misure restrittive su tutto il territorio nazionale per contrastare l'emergenza coronavirus.
</p> <p>
	Il Dpcm sospende le attività commerciali al dettaglio, fatta eccezione per quelle che vendono beni di prima necessità.
</p> <p>
	Ecco l’elenco degli esercizi aperti:
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Cosa si raccomanda a tutti i cittadini italiani?	Tutta l’Italia è diventata zona protetta con il dpcm sottoscritto la sera del 9 marzo dal presidente del Consiglio dei ministri, Giuseppe Conte, che ha esteso le misure restrittive già applicate per la Lombardia e le 14 province del nord più colpite dal contagio di coronavirus a tutto il territorio nazionale. Il nuovo provvedimento entra in vigore a partire dal 10 marzo e avrà efficacia fino al 3 aprile. Tra le principali novità: limita gli spostamenti delle persone, blocca le manifestazioni sportive, sospende in tutto il Paese l'attività didattica nelle scuole e nelle università fino al 3 aprile. A tutti i cittadini è richiesto di: Rispetta inoltre queste semplici per la prevenzione. Leggi:   Scarica:  	"<p>
	Tutta l’Italia è diventata zona protetta con il dpcm sottoscritto la sera del 9 marzo dal presidente del Consiglio dei ministri, Giuseppe Conte, che ha esteso le misure restrittive già applicate per la Lombardia e le 14 province del nord più colpite dal contagio di coronavirus a tutto il territorio nazionale. Il nuovo provvedimento entra in vigore a partire dal 10 marzo e avrà efficacia fino al 3 aprile. Tra le principali novità: limita gli spostamenti delle persone, blocca le manifestazioni sportive, sospende in tutto il Paese l'attività didattica nelle scuole e nelle università fino al 3 aprile. 
</p> <p>
	A tutti i cittadini è richiesto di:
</p> <p>
	Rispetta inoltre queste semplici <a href=""http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioOpuscoliNuovoCoronavirus.jsp?lingua=italiano&amp;id=443"">raccomandazioni</a> per la prevenzione.
</p> <p>
	Leggi:
</p> <p>
	<a href=""http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&amp;menu=notizie&amp;p=dalministero&amp;id=4186"">News sul DPCM 9 marzo detto #iorestoacasa</a>
</p> <p>
	Scarica:
</p> <p>
	<a href=""https://www.interno.gov.it/sites/default/files/allegati/modulo-autodichiarazione-17.3.2020.pdf"" onclick=""window.open(this.href); return false;"" title=""apre pdf"">Modulo autocertificazione spostamenti del Viminale</a>
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Cosa bisogna fare al termine dell’isolamento fiduciario per rientrare al lavoro?	Al termine del periodo di isolamento fiduciario, , la persona può rientrare al lavoro ed il periodo di assenza risulta coperto dal certificato emesso all’inizio del periodo di isolamento. Non sono necessarie certificazioni aggiuntive. Può essere effettuata una valutazione da parte del medico competente qualora il datore di lavoro lo ritenesse opportuno.	"<p>
	Al termine del periodo di isolamento fiduciario, <strong>se non sono comparsi sintomi</strong>, la persona può rientrare al lavoro ed il periodo di assenza risulta coperto dal certificato emesso all’inizio del periodo di isolamento. Non sono necessarie certificazioni aggiuntive.<br>
	Può essere effettuata una valutazione da parte del medico competente qualora il datore di lavoro lo ritenesse opportuno.
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
A chi rivolgersi?	In caso di sintomi o dubbi, rimani in casa, non recarti al pronto soccorso o presso gli studi medici ma chiama al telefono il tuo medico di famiglia, il tuo pediatra o la guardia medica. Oppure chiama il numero verde regionale. Per approndire: Guarda	"<p>
	In caso di sintomi o dubbi, rimani in casa, non recarti al pronto soccorso o presso gli studi medici ma chiama al telefono il tuo medico di famiglia, il tuo pediatra o la guardia medica. Oppure chiama il numero verde regionale.
</p> <p>
	Per approndire: 
</p> <p>
	Guarda 
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Con le misure restrittive nazionali vengono sospese le attività dei centri anti-violenza per le donne?			http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
È possibile ricevere la ricetta del proprio medico curante via mail o con messaggio sul cellulare?	Sì. Con l’ 0 è consentito ottenere dal proprio medico curante il “Numero di Ricetta Elettronica” senza più la necessità di ritirare fisicamente il promemoria cartaceo. Si tratta di un’ulteriore misura per limitare la circolazione dei cittadini e arrestare i contagi da nuovo coronavirus. Il medico può: Il farmacista, una volta acquisito il Numero di Ricetta Elettronica e il codice fiscale riportato sulla Tessera Sanitaria dell’assistito, provvede all’erogazione del farmaco richiesto.	"<p>
	Sì. Con l’<a href=""http://www.trovanorme.salute.gov.it/norme/renderNormsanPdf?anno=2020&amp;codLeg=73710&amp;parte=1%20&amp;serie=null"" onclick=""window.open(this.href); return false;"">Ordinanza del 19 Marzo 202</a>0 è consentito ottenere dal proprio medico curante il “Numero di Ricetta Elettronica” senza più la necessità di ritirare fisicamente il promemoria cartaceo. Si tratta di un’ulteriore misura per limitare la circolazione dei cittadini e arrestare i contagi da nuovo coronavirus. Il medico può:
</p> <p>
	Il farmacista, una volta acquisito il Numero di Ricetta Elettronica e il codice fiscale riportato sulla Tessera Sanitaria dell’assistito, provvede all’erogazione del farmaco richiesto.
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
È possibile uscire per andare al parco o partire per la seconda casa utilizzata per le vacanze?	No. Secondo l e valida fino al 25 Marzo è vietato andare ai parchi, alle ville, alle aree gioco, ai giardini pubblici e svolgere attività ludica o ricreativa all’aperto. E’ però permesso praticare attività fisica in prossimità della propria abitazione rispettando la distanza di un metro dalle altre persone. Nei giorni festivi, prefestivi, e in quegli altri che immediatamente precedono o seguono tali giorni, è vietato spostarsi di casa (anche per andare verso una seconda casa utilizzata per vacanza).  	"<p>
	No. Secondo l<a href=""http://www.trovanorme.salute.gov.it/norme/renderNormsanPdf?anno=2020&amp;codLeg=73716&amp;parte=1%20&amp;serie=null"" onclick=""window.open(this.href); return false;"">’Ordinanza emessa il 20 Marzo</a> e valida fino al 25 Marzo è vietato andare ai parchi, alle ville, alle aree gioco, ai giardini pubblici e svolgere attività ludica o ricreativa all’aperto. E’ però permesso praticare attività fisica in prossimità della propria abitazione rispettando la distanza di un metro dalle altre persone.
</p> <p>
	Nei giorni festivi, prefestivi, e in quegli altri che immediatamente precedono o seguono tali giorni, è vietato spostarsi di casa (anche per andare verso una seconda casa utilizzata per vacanza).
</p> <p>
	<br>
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Posso uscire con la bicicletta?	L’utilizzo della bicicletta, nel rispetto della distanza interpersonale di almeno un metro, è soggetto alle misure restrittive del DPCM del 9 Marzo definito #Iorestoacasa. Tale provvedimento limita gli spostamenti delle persone in entrata e in uscita dai territori nonché all'interno dei medesimi salvo che per gli spostamenti motivati da comprovate esigenze lavorative o situazioni di necessità ovvero spostamenti per motivi di salute. In caso di eventuali controlli dovrà essere fornita . Non è giustificato l’utilizzo del mezzo per lo svolgimento di attività motoria o per allenamento, oltre i confini del proprio territorio di domicilio, abitazione o residenza. In caso di sportivi, professionisti o non professionisti, riconosciuti di interesse nazionale dal CONI e dalle rispettive Federazioni, in vista della loro partecipazione ai giochi olimpici o a manifestazioni nazionali o internazionali, sono utilizzabili gli impianti sportivi a porte chiuse  per le sedute di allenamento. È consentito esclusivamente lo svolgimento degli eventi e delle competizioni sportive organizzati da organismi sportivi internazionali, all’interno di impianti sportivi utilizzati a porte chiuse, ovvero all’aperto senza la presenza di pubblico.  	"<p>
	L’utilizzo della bicicletta, nel rispetto della distanza interpersonale di almeno un metro, è soggetto alle misure restrittive del DPCM del 9 Marzo definito #Iorestoacasa. Tale provvedimento limita gli spostamenti delle persone in entrata e in uscita dai territori nonché all'interno dei medesimi salvo che per gli spostamenti motivati da comprovate esigenze lavorative o situazioni di necessità ovvero spostamenti per motivi di salute. In caso di eventuali controlli dovrà essere fornita <a href=""https://www.interno.gov.it/sites/default/files/allegati/modulo-autodichiarazione-17.3.2020.pdf"" onclick=""window.open(this.href); return false;"" title=""apre file pdf"">autocertificazione</a>.
</p> <p>
	Non è giustificato l’utilizzo del mezzo per lo svolgimento di attività motoria o per allenamento, oltre i confini del proprio territorio di domicilio, abitazione o residenza.
</p> <p>
	In caso di sportivi, professionisti o non professionisti, riconosciuti di interesse nazionale dal CONI e dalle rispettive Federazioni, in vista della loro partecipazione ai giochi olimpici o a manifestazioni nazionali o internazionali, sono utilizzabili gli impianti sportivi a porte chiuse  per le sedute di allenamento. È consentito esclusivamente lo svolgimento degli eventi e delle competizioni sportive organizzati da organismi sportivi internazionali, all’interno di impianti sportivi utilizzati a porte chiuse, ovvero all’aperto senza la presenza di pubblico.
</p> <p>
	<br>
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
Quali misure restrittive sono applicate agli Autogrill e agli altri esercizi di somministrazione di alimenti e bevande posti nelle aree di servizio e rifornimento carburante lungo le autostrade e all’interno delle stazioni ferroviarie, aeroportuali, lacustri e negli ospedali?	Con l’ vengono chiusi gli esercizi di somministrazione di alimenti e bevande situati nelle stazioni ferroviarie e lacustri e nelle aree di servizio e rifornimento carburante. Rimangono aperti quelli situati lungo le autostrade, che possono vendere solo prodotti da asporto da consumarsi fuori dei locali, e quelli negli ospedali e negli aeroporti, sempre nel rispetto della distanza interpersonale di almeno un metro.	"<p>
	Con l’<a href=""http://www.trovanorme.salute.gov.it/norme/renderNormsanPdf?anno=2020&amp;codLeg=73716&amp;parte=1%20&amp;serie=null"" onclick=""window.open(this.href); return false;"">Ordinanza del 20 Marzo</a> vengono chiusi gli esercizi di somministrazione di alimenti e bevande situati nelle stazioni ferroviarie e lacustri e nelle aree di servizio e rifornimento carburante. Rimangono aperti quelli situati lungo le autostrade, che possono vendere solo prodotti da asporto da consumarsi fuori dei locali, e quelli negli ospedali e negli aeroporti, sempre nel rispetto della distanza interpersonale di almeno un metro.
</p>"	http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?id=228	FAQ - Covid-19, domande e risposte	Ministero della Salute, IT		IT			it	2020/03/22
