question	answer	answer_html	link	name	source	category	country	region	city	lang	last_update
Wie kann ich mich infizieren?	Der Hauptübertragungsweg ist die Tröpfcheninfektion, die vorrangig über die Schleimhäute von Mund und Nase, aber auch durch den Kontakt über die Hände erfolgen kann.	"<div class=""panel-inner""><p>Der Hauptübertragungsweg ist die Tröpfcheninfektion, die vorrangig über die Schleimhäute von Mund und Nase, aber auch durch den Kontakt über die Hände erfolgen kann.</p></div>"	https://www.zusammengegencorona.de/informieren/basiswissen-uebertragung/	Ihre Fragen - unsere Antworten zum neuartigen Coronavirus / COVID-19	Bundesministerium für Gesundheit (BMG)		DE			de	2020/03/27
Wie lange ist die Inkubationszeit bei einer Infektion mit dem neuartigen Coroanvirus?	Die Inkubationszeit kann bis zu 14 Tage betragen, im Durchschnitt jedoch 5-6 Tage.	"<div class=""panel-inner""><p>Die Inkubationszeit kann bis zu 14 Tage betragen, im Durchschnitt jedoch 5-6 Tage.</p></div>"	https://www.zusammengegencorona.de/informieren/basiswissen-uebertragung/	Ihre Fragen - unsere Antworten zum neuartigen Coronavirus / COVID-19	Bundesministerium für Gesundheit (BMG)		DE			de	2020/03/27
Welche Altersgruppen sind von Covid-19 besonders betroffen?	Alle Altersgruppen können sich infizieren und erkranken. Besonders gefährdet für einen schweren Verlauf sind Menschen höheren Alters (60+) und jene, die bereits von Grunderkrankungen betroffen sind. Männer sind häufiger betroffen als Frauen.	"<div class=""panel-inner""><p>Alle Altersgruppen können sich infizieren und erkranken. Besonders gefährdet für einen schweren Verlauf sind Menschen höheren Alters (60+) und jene, die bereits von Grunderkrankungen betroffen sind. Männer sind häufiger betroffen als Frauen.</p></div>"	https://www.zusammengegencorona.de/informieren/basiswissen-uebertragung/	Ihre Fragen - unsere Antworten zum neuartigen Coronavirus / COVID-19	Bundesministerium für Gesundheit (BMG)		DE			de	2020/03/27
Wie haben sich die Menschen in China angesteckt?	Die ersten Patienten haben sich augenscheinlich auf einem Huanan-Seafood-Markt in der chinesischen Stadt Wuhan infiziert, bei dem auch Wildtiere bzw. Organe von anderen Tieren und Reptilien angeboten wurden. Die Ansteckungen danach erfolgten von Mensch zu Mensch.	"<div class=""panel-inner""><p>Die ersten Patienten haben sich augenscheinlich auf einem Huanan-Seafood-Markt in der chinesischen Stadt Wuhan infiziert, bei dem auch Wildtiere bzw. Organe von anderen Tieren und Reptilien angeboten wurden. Die Ansteckungen danach erfolgten von Mensch zu Mensch.</p></div>"	https://www.zusammengegencorona.de/informieren/basiswissen-uebertragung/	Ihre Fragen - unsere Antworten zum neuartigen Coronavirus / COVID-19	Bundesministerium für Gesundheit (BMG)		DE			de	2020/03/27
Kann das Virus auch über den Stuhlgang bzw. Toilettengang in den Wasserkreislauf übertragen werden?	Das Virus konnte in einigen Fällen im Stuhl nachgewiesen werden. Nach derzeitigem Stand ist eine Übertragung aus dem Stuhl über Schmierinfektion jedoch äußerst selten. Man geht derzeit davon aus, dass sich das Virus vor allem über Tröpfcheninfektion bzw. Schmierinfektion von Sekreten aus den Atemwegen über die Hände überträgt. Der Wasserkreislauf spielt bei der Übertragung des Virus keine Rolle.	"<div class=""panel-inner""><p>Das Virus konnte in einigen Fällen im Stuhl nachgewiesen werden. Nach derzeitigem Stand ist eine Übertragung aus dem Stuhl über Schmierinfektion jedoch äußerst selten. Man geht derzeit davon aus, dass sich das Virus vor allem über Tröpfcheninfektion bzw. Schmierinfektion von Sekreten aus den Atemwegen über die Hände überträgt. Der Wasserkreislauf spielt bei der Übertragung des Virus keine Rolle.  </p></div>"	https://www.zusammengegencorona.de/informieren/basiswissen-uebertragung/	Ihre Fragen - unsere Antworten zum neuartigen Coronavirus / COVID-19	Bundesministerium für Gesundheit (BMG)		DE			de	2020/03/27
Should I cancel my international trip?	"CDC provides recommendations for international travel, including guidance on when to consider postponing or canceling travel. Most of the time, this guidance is provided through travel health notices and is based on the potential health risks associated with traveling to a certain destination. 
 Travel health notices are designated as Level 1, 2, or 3, depending on the situation in that destination. (See below for what each level means). A list of destinations with coronavirus disease 2019(COVID-19)  travel health notices  is available. 
 
 Warning Level 3 : CDC recommends travelers avoid all nonessential travel to these destinations. 
 Alert Level 2:  CDC recommends older adults and people of any age with serious chronic medical conditions consider postponing nonessential travel. 
 Watch Level 1 : CDC does not recommend canceling or postponing travel to destinations with, but it is important to take  steps  to prevent getting and spreading diseases during travel. 
 
 CDC also recommends all travelers, defer all cruise travel worldwide. This is particularly important for older adults and people of any age with serious chronic medical conditions. 
 If you do travel, take the following steps to help reduce your chances of getting sick: 
 
 Avoid contact with sick people. 
 Avoid touching your eyes, nose, or mouth with unwashed hands. 
 Wash your hands often with soap and water for at least 20 seconds or using an alcohol-based hand sanitizer that contains at least 60% alcohol. Soap and water should be used if hands are visibly dirty.
 
 It is especially important to clean hands after going to the bathroom; before eating; and after coughing, sneezing or blowing your nose. 
 
 
 
 Make sure you are up to date with your routine vaccinations, including measles-mumps-rubella (MMR) vaccine and the seasonal flu vaccine. 
 The COVID-19 pandemic is a rapidly evolving situation and CDC guidance is reviewed daily and updated frequently."	"<div class=""card-body""><p>CDC provides recommendations for international travel, including guidance on when to consider postponing or canceling travel. Most of the time, this guidance is provided through travel health notices and is based on the potential health risks associated with traveling to a certain destination.</p>
<p>Travel health notices are designated as Level 1, 2, or 3, depending on the situation in that destination. (See below for what each level means). A list of destinations with coronavirus disease 2019(COVID-19) <a href=""/coronavirus/2019-ncov/travelers/index.html"">travel health notices</a> is available.</p>
<ul>
<li><u>Warning Level 3</u>: CDC recommends travelers avoid all nonessential travel to these destinations.</li>
<li><u>Alert Level 2:</u> CDC recommends older adults and people of any age with serious chronic medical conditions consider postponing nonessential travel.</li>
<li><u>Watch Level 1</u>: CDC does not recommend canceling or postponing travel to destinations with, but it is important to take <a href=""/coronavirus/2019-ncov/prepare/prevention.html"">steps</a> to prevent getting and spreading diseases during travel.</li>
</ul>
<p>CDC also recommends all travelers, defer all cruise travel worldwide. This is particularly important for older adults and people of any age with serious chronic medical conditions.</p>
<p>If you do travel, take the following steps to help reduce your chances of getting sick:</p>
<ul>
<li>Avoid contact with sick people.</li>
<li>Avoid touching your eyes, nose, or mouth with unwashed hands.</li>
<li>Wash your hands often with soap and water for at least 20 seconds or using an alcohol-based hand sanitizer that contains at least 60% alcohol. Soap and water should be used if hands are visibly dirty.
<ul>
<li>It is especially important to clean hands after going to the bathroom; before eating; and after coughing, sneezing or blowing your nose.</li>
</ul>
</li>
</ul>
<p>Make sure you are up to date with your routine vaccinations, including measles-mumps-rubella (MMR) vaccine and the seasonal flu vaccine.</p>
<p><strong>The COVID-19 pandemic is a rapidly evolving situation and CDC guidance is reviewed daily and updated frequently.</strong></p>
</div>"	https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html	Travel: Frequently Asked Questions and Answers	Center for Disease Control and Prevention (CDC)	Canceling or Postponing Travel	USA			en	2020/03/27
Are international layovers included in CDC’s recommendation to avoid nonessential travel?	"Yes. Airport layovers in international destinations with a level 3 travel health notice are included in CDC’s recommendation to avoid nonessential travel. If a layover is unavoidable, CDC recommends you not leave the airport. Even if you don’t leave the airport during your layover, you may still be subject to screening and monitoring when entering the United States. 
 A layover is anytime you exit a plane when traveling to your final destination."	"<div class=""card-body""><p>Yes. Airport layovers in international destinations with a level 3 travel health notice are included in CDC’s recommendation to avoid nonessential travel. If a layover is unavoidable, CDC recommends you not leave the airport. Even if you don’t leave the airport during your layover, you may still be subject to screening and monitoring when entering the United States.</p>
<p>A layover is anytime you exit a plane when traveling to your final destination.</p>
</div>"	https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html	Travel: Frequently Asked Questions and Answers	Center for Disease Control and Prevention (CDC)	Canceling or Postponing Travel	USA			en	2020/03/27
What is the risk of getting COVID-19 on an airplane?	"Because of how air circulates and is filtered on airplanes, most viruses and other germs do not spread easily. Although the risk of infection on an airplane is low, try to avoid contact with sick passengers and wash your hands often with soap and water for at least 20 seconds or use hand sanitizer that contains at least 60% alcohol. 
 For more information:  Exposure Risk During Travel"	"<div class=""card-body""><p>Because of how air circulates and is filtered on airplanes, most viruses and other germs do not spread easily. Although the risk of infection on an airplane is low, try to avoid contact with sick passengers and wash your hands often with soap and water for at least 20 seconds or use hand sanitizer that contains at least 60% alcohol.</p>
<p>For more information: <a href=""/coronavirus/2019-ncov/php/risk-assessment.html"">Exposure Risk During Travel</a></p>
</div>"	https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html	Travel: Frequently Asked Questions and Answers	Center for Disease Control and Prevention (CDC)	Air or Cruise Travel	USA			en	2020/03/27
What happens if there is a sick passenger on an international or domestic flight?	"Under current federal regulations, pilots must report all illnesses and deaths to CDC before arriving to a US destination. According to CDC disease protocols, if a sick traveler is considered to be a public health risk, CDC works with local and state health departments and international public health agencies to  contact passengers and crew  exposed to that sick traveler. 
 Be sure to give the airline your current contact information when booking your ticket so you can be notified if you are exposed to a sick traveler on a flight. 
 For more information:  Contact Investigation"	"<div class=""card-body""><p>Under current federal regulations, pilots must report all illnesses and deaths to CDC before arriving to a US destination. According to CDC disease protocols, if a sick traveler is considered to be a public health risk, CDC works with local and state health departments and international public health agencies to <a href=""/quarantine/contact-investigation.html"">contact passengers and crew</a> exposed to that sick traveler.</p>
<p>Be sure to give the airline your current contact information when booking your ticket so you can be notified if you are exposed to a sick traveler on a flight.</p>
<p>For more information: <a href=""/quarantine/contact-investigation.html"">Contact Investigation</a></p>
</div>"	https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html	Travel: Frequently Asked Questions and Answers	Center for Disease Control and Prevention (CDC)	Air or Cruise Travel	USA			en	2020/03/27
Should I go on a cruise?	CDC recommends all travelers, particularly older adults and people of any age with serious chronic medical conditions  defer all cruise ship travel worldwide . Recent reports of COVID-19 on cruise ships highlight the risk of infection to cruise ship passengers and crew. Like many other viruses, COVID-19 appears to spread more easily between people in close quarters aboard ships.	"<div class=""card-body""><p>CDC recommends all travelers, particularly older adults and people of any age with serious chronic medical conditions <a href=""https://wwwnc.cdc.gov/travel/notices/warning/coronavirus-cruise-ship"">defer all cruise ship travel worldwide</a>. Recent reports of COVID-19 on cruise ships highlight the risk of infection to cruise ship passengers and crew. Like many other viruses, COVID-19 appears to spread more easily between people in close quarters aboard ships.</p>
</div>"	https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html	Travel: Frequently Asked Questions and Answers	Center for Disease Control and Prevention (CDC)	Air or Cruise Travel	USA			en	2020/03/27
